locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_17698898B40667895693210,Asia,Afghanistan,Herat,"Zanda Jan
",AF,No,Afghanistan,{17698898B40667895693210},AFG,AF
GEO_17698898B46917889525806,Asia,Afghanistan,Jowzjan,Aqcha,AF,No,Afghanistan,{17698898B46917889525806},AFG,AF
GEO_17698898B18601855151181,Asia,Afghanistan,Jowzjan,Darzab,AF,No,Afghanistan,{17698898B18601855151181},AFG,AF
GEO_17698898B33300576741298,Asia,Afghanistan,Jowzjan,Fayzabad,AF,No,Afghanistan,{17698898B33300576741298},AFG,AF
GEO_17698898B49127881316954,Asia,Afghanistan,Jowzjan,Kham Ab,AF,No,Afghanistan,{17698898B49127881316954},AFG,AF
GEO_17698898B3221081044108,Asia,Afghanistan,Jowzjan,Khaniqa,AF,No,Afghanistan,{17698898B3221081044108},AFG,AF
GEO_17698898B16843161206497,Asia,Afghanistan,Jowzjan,Khwaja Du Koh,AF,No,Afghanistan,{17698898B16843161206497},AFG,AF
GEO_17698898B33311091031062,Asia,Afghanistan,Jowzjan,Mangajek,AF,No,Afghanistan,{17698898B33311091031062},AFG,AF
GEO_17698898B10243065088514,Asia,Afghanistan,Jowzjan,Mardyan,AF,No,Afghanistan,{17698898B10243065088514},AFG,AF
GEO_17698898B9912817102687,Asia,Afghanistan,Jowzjan,Qarqin,AF,No,Afghanistan,{17698898B9912817102687},AFG,AF
GEO_17698898B63288108708260,Asia,Afghanistan,Jowzjan,Qush Tepa,AF,No,Afghanistan,{17698898B63288108708260},AFG,AF
GEO_17698898B53467877879512,Asia,Afghanistan,Jowzjan,Shibirghan,AF,No,Afghanistan,{17698898B53467877879512},AFG,AF
GEO_17698898B21871678766535,Asia,Afghanistan,Kabul,Bagrami,AF,No,Afghanistan,{17698898B21871678766535},AFG,AF
GEO_17698898B20052578515720,Asia,Afghanistan,Kabul,Chahar Asyab,AF,No,Afghanistan,{17698898B20052578515720},AFG,AF
GEO_17698898B46017522577675,Asia,Afghanistan,Kabul,Dih Sabz,AF,No,Afghanistan,{17698898B46017522577675},AFG,AF
GEO_17698898B80217603644600,Asia,Afghanistan,Kabul,Farza,AF,No,Afghanistan,{17698898B80217603644600},AFG,AF
GEO_17698898B71756880207327,Asia,Afghanistan,Kabul,Guldara,AF,No,Afghanistan,{17698898B71756880207327},AFG,AF
GEO_17698898B12916528031123,Asia,Afghanistan,Kabul,Istalif,AF,No,Afghanistan,{17698898B12916528031123},AFG,AF
GEO_17698898B53195345217503,Asia,Afghanistan,Kabul,Kabul,AF,No,Afghanistan,{17698898B53195345217503},AFG,AF
GEO_17698898B48331598249069,Asia,Afghanistan,Kabul,Kalakan,AF,No,Afghanistan,{17698898B48331598249069},AFG,AF
GEO_17698898B74617180198500,Asia,Afghanistan,Kabul,Khaki Jabbar,AF,No,Afghanistan,{17698898B74617180198500},AFG,AF
